onset	duration	trial_type	accuracy	response_time	stim1_file	stim2_file
0.0	4.443	2	1	1.369	RhymeSpell/stroll.bmp	RhymeSpell/bowl1.bmp
4.443	4.443	2	1	1.578	RhymeSpell/shed.bmp	RhymeSpell/tread1.bmp
8.886	4.443	0	1	1.372	RhymeSpell/null.bmp	RhymeSpell/null.bmp
13.329	4.443	3	1	1.57	RhymeSpell/cove.bmp	RhymeSpell/prove2.bmp
17.772	4.442	0	1	1.315	RhymeSpell/null.bmp	RhymeSpell/null.bmp
22.214	4.443	3	1	1.414	RhymeSpell/climb.bmp	RhymeSpell/limb1.bmp
26.657	4.443	5	1	1.486	Symbols/m.bmp	Symbols/m2.bmp
31.1	4.443	1	1	1.757	RhymeSpell/class.bmp	RhymeSpell/mass2.bmp
35.543	4.443	0	1	1.655	RhymeSpell/null.bmp	RhymeSpell/null.bmp
39.986	4.443	1	1	1.577	RhymeSpell/brain.bmp	RhymeSpell/train2.bmp
44.429	4.443	4	1	1.576	RhymeSpell/norm.bmp	RhymeSpell/group1.bmp
48.872	4.442	2	0	2.214	RhymeSpell/caught.bmp	RhymeSpell/bought2.bmp
53.314	4.443	2	1	2.738	RhymeSpell/putt.bmp	RhymeSpell/cut2.bmp
57.757	4.443	0	1	1.52	RhymeSpell/null.bmp	RhymeSpell/null.bmp
62.2	4.443	1	1	1.72	RhymeSpell/nod.bmp	RhymeSpell/rod1.bmp
66.643	4.443	0	1	1.607	RhymeSpell/null.bmp	RhymeSpell/null.bmp
71.086	4.443	5	1	1.58	Symbols/z.bmp	Symbols/t1.bmp
75.529	4.442	0	1	1.691	RhymeSpell/null.bmp	RhymeSpell/null.bmp
79.971	4.443	3	1	1.983	RhymeSpell/hatch.bmp	RhymeSpell/watch2.bmp
84.414	4.443	6	1	1.756	Symbols/lfa.bmp	Symbols/lfa1.bmp
88.857	4.443	1	1	1.857	RhymeSpell/mark.bmp	RhymeSpell/park1.bmp
93.3	4.443	0	1	1.516	RhymeSpell/null.bmp	RhymeSpell/null.bmp
97.743	4.443	5	1	1.708	Symbols/j.bmp	Symbols/o1.bmp
102.186	4.442	5	1	1.665	Symbols/b.bmp	Symbols/b2.bmp
106.628	4.443	2	1	1.65	RhymeSpell/stuff.bmp	RhymeSpell/rough1.bmp
111.071	4.443	0	1	1.498	RhymeSpell/null.bmp	RhymeSpell/null.bmp
115.514	4.443	3	1	1.644	RhymeSpell/cheat.bmp	RhymeSpell/sweat1.bmp
119.957	4.443	0	1	1.547	RhymeSpell/null.bmp	RhymeSpell/null.bmp
124.4	4.443	6	0	1.715	Symbols/zti.bmp	Symbols/zvi1.bmp
128.843	4.443	0	1	1.636	RhymeSpell/null.bmp	RhymeSpell/null.bmp
133.286	4.442	3	1	1.715	RhymeSpell/flood.bmp	RhymeSpell/mood1.bmp
137.728	4.443	4	1	1.715	RhymeSpell/slap.bmp	RhymeSpell/tool1.bmp
142.171	4.443	5	1	1.424	Symbols/y.bmp	Symbols/y1.bmp
146.614	4.443	1	1	1.525	RhymeSpell/paste.bmp	RhymeSpell/taste1.bmp
151.057	4.443	0	1	1.375	RhymeSpell/null.bmp	RhymeSpell/null.bmp
155.5	4.443	4	1	1.703	RhymeSpell/walk.bmp	RhymeSpell/reef2.bmp
159.943	4.442	5	1	1.746	Symbols/a.bmp	Symbols/a1.bmp
164.385	4.443	0	1	1.709	RhymeSpell/null.bmp	RhymeSpell/null.bmp
168.828	4.443	4	1	1.549	RhymeSpell/trap.bmp	RhymeSpell/treat1.bmp
173.271	4.443	0	1	1.099	RhymeSpell/null.bmp	RhymeSpell/null.bmp
177.714	4.443	6	1	1.885	Symbols/drp.bmp	Symbols/drn1.bmp
182.157	4.443	0	1	1.369	RhymeSpell/null.bmp	RhymeSpell/null.bmp
186.6	4.442	1	1	2.41	RhymeSpell/sir.bmp	RhymeSpell/stir1.bmp
191.042	4.443	0	1	1.446	RhymeSpell/null.bmp	RhymeSpell/null.bmp
195.485	4.443	6	1	1.815	Symbols/ntv.bmp	Symbols/ntv2.bmp
199.928	4.443	0	1	1.347	RhymeSpell/null.bmp	RhymeSpell/null.bmp
204.371	4.443	5	1	1.728	Symbols/e.bmp	Symbols/e1.bmp
208.814	4.443	0	1	1.199	RhymeSpell/null.bmp	RhymeSpell/null.bmp
213.257	4.442	3	1	1.569	RhymeSpell/chase.bmp	RhymeSpell/phrase2.bmp
217.699	4.443	0	1	1.846	RhymeSpell/null.bmp	RhymeSpell/null.bmp
222.142	4.443	3	1	1.859	RhymeSpell/fan.bmp	RhymeSpell/swan1.bmp
226.585	4.443	0	1	1.575	RhymeSpell/null.bmp	RhymeSpell/null.bmp
231.028	4.443	2	1	1.808	RhymeSpell/cone.bmp	RhymeSpell/blown2.bmp
235.471	4.443	3	1	1.366	RhymeSpell/deaf.bmp	RhymeSpell/leaf2.bmp
239.914	4.443	4	1	1.557	RhymeSpell/drown.bmp	RhymeSpell/whose1.bmp
244.357	4.442	6	1	1.953	Symbols/gbk.bmp	Symbols/rbk2.bmp
248.799	4.443	0	1	1.493	RhymeSpell/null.bmp	RhymeSpell/null.bmp
253.242	4.443	5	1	1.766	Symbols/f.bmp	Symbols/f1.bmp
257.685	4.443	0	1	1.525	RhymeSpell/null.bmp	RhymeSpell/null.bmp
262.128	4.443	6	1	1.927	Symbols/zsj.bmp	Symbols/wsj1.bmp
266.571	4.443	0	1	1.539	RhymeSpell/null.bmp	RhymeSpell/null.bmp
271.014	4.442	1	1	1.828	RhymeSpell/chance.bmp	RhymeSpell/dance2.bmp
275.456	4.443	0	1	1.444	RhymeSpell/null.bmp	RhymeSpell/null.bmp
279.899	4.443	2	1	2.029	RhymeSpell/zone.bmp	RhymeSpell/flown1.bmp
284.342	4.443	0	1	1.492	RhymeSpell/null.bmp	RhymeSpell/null.bmp
288.785	4.443	5	1	1.421	Symbols/o.bmp	Symbols/d1.bmp
293.228	4.443	0	1	0.534	RhymeSpell/null.bmp	RhymeSpell/null.bmp
297.671	4.442	4	1	1.656	RhymeSpell/pose.bmp	RhymeSpell/brown2.bmp
302.113	4.443	2	1	2.038	RhymeSpell/mom.bmp	RhymeSpell/bomb1.bmp
306.556	4.443	6	1	1.648	Symbols/lwy.bmp	Symbols/lwy1.bmp
310.999	4.443	2	1	2.153	RhymeSpell/dose.bmp	RhymeSpell/gross1.bmp
315.442	4.443	4	1	1.841	RhymeSpell/theme.bmp	RhymeSpell/jail2.bmp
319.885	4.443	0	1	1.455	RhymeSpell/null.bmp	RhymeSpell/null.bmp
324.328	4.442	3	1	1.74	RhymeSpell/doll.bmp	RhymeSpell/toll1.bmp
328.77	4.443	4	1	1.496	RhymeSpell/thus.bmp	RhymeSpell/stay2.bmp
333.213	4.443	0	1	1.603	RhymeSpell/null.bmp	RhymeSpell/null.bmp
337.656	4.443	5	1	1.596	Symbols/k.bmp	Symbols/k1.bmp
342.099	4.443	0	1	1.777	RhymeSpell/null.bmp	RhymeSpell/null.bmp
346.542	4.443	3	1	1.739	RhymeSpell/charm.bmp	RhymeSpell/swarm1.bmp
350.985	4.443	1	1	1.895	RhymeSpell/boss.bmp	RhymeSpell/moss1.bmp
